Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2002-03 to 2003-04, Coffs Harbour,334.3,515.3,93.5,86.7,100.9,0
 2004-05 to 2005-06, Sutherland Shire,"1,094.60",515.2,86.3,82.8,89.9, --
 2011-12 to 2012-13, Yass Valley,80.5,514.1,73.3,63,84.3, --
 2003-04 to 2004-05, Berrigan,43.6,513.7,90,72.7,109.7,0
 2005-06 to 2006-07, Port Macquarie-Hastings,388.5,513.3,79.9,74.2,85.9, --
 2006-07 to 2007-08, Blayney,34.3,513.3,76.7,61,94.5, -
 2008-09 to 2009-10, Port Stephens,340.8,512.6,76.1,70.4,81.8, --
 2010-11 to 2011-12, Fairfield,960,512.2,74.3,71.1,77.7, --
 2008-09 to 2009-10, Gunnedah,62.2,512.1,76,64.3,89.1, --
 2011-12 to 2012-13, Kogarah,310.3,512.1,73,67.5,78.7, --
 2009-10 to 2010-11, Camden,262.3,511.9,75.7,69.4,82.4, --
 2002-03 to 2003-04, Ballina,210.6,511.8,92.9,84.2,101.8,0
 2008-09 to 2009-10, Yass Valley,73.4,511.3,75.9,64.9,86.9, --
 2001-02 to 2002-03, Gwydir,29.3,510.9,94.4,74.7,116.7,0
 2002-03 to 2003-04, Wingecarribee,220.1,510.6,92.6,84.3,101.2,0
 2009-10 to 2010-11, Yass Valley,75.5,510.6,75.5,64.7,87.1, --
 2003-04 to 2004-05, Sutherland Shire,"1,088.10",510.5,89.4,85.5,93.3, --
 2007-08 to 2008-09, Hurstville,416,510.2,76.1,71,81.2, --
 2013-14 to 2014-15, Kogarah,315.3,510,72.2,66.7,77.9, --
 2009-10 to 2010-11, Gwydir,28.1,509.8,75.4,59.8,93.1, --
 2005-06 to 2006-07, The Hills Shire,791.4,509.5,79.3,75.5,83.3, --
 2007-08 to 2008-09, Murray,37.1,509.5,76,61.7,92.8, --
 2012-13 to 2013-14, Kogarah,312.2,509.5,71.7,66.3,77.2, --
 2007-08 to 2008-09, Tamworth Regional,283.6,509.3,75.9,69.9,82, --
 2002-03 to 2003-04, Penrith,818.5,508.8,92.3,88,96.9, --
 2002-03 to 2003-04, Greater Taree,234.8,508.6,92.3,83.9,100.6,0
 2003-04 to 2004-05, Boorowa,12.5,508.2,89,63.5,120.2,0
 2003-04 to 2004-05, Newcastle,776.2,507.4,88.9,84.6,93.4, --
 2011-12 to 2012-13, Port Macquarie-Hastings,433.5,507.4,72.3,67.8,77.2, --
 2005-06 to 2006-07, Gloucester,26.6,506.8,78.9,61.9,97.8, -
 2003-04 to 2004-05, Wagga Wagga,277.8,506.6,88.8,81.5,96.2, --
 2001-02 to 2002-03, Bathurst Regional,177.7,505.7,93.4,83.9,103.1,0
 2006-07 to 2007-08, Singleton,107.7,505.6,75.5,66.7,85.8, --
 2012-13 to 2013-14, Armidale Dumaresq,124,505.6,71.2,62.6,79.9, --
 2010-11 to 2011-12, Liverpool Plains,41.3,505.5,73.4,59.8,87.9, --
 2004-05 to 2005-06, Upper Lachlan Shire,37.1,504.9,84.6,68.4,102.2,0
 2011-12 to 2012-13, Burwood,179.2,504.5,71.9,64.8,79.8, --
 2003-04 to 2004-05, Cessnock,235.4,504.3,88.4,80.6,96.4, --
 2010-11 to 2011-12, Port Macquarie-Hastings,424.5,504.2,73.2,68.2,78.3, --
 2001-02 to 2002-03, Goulburn Mulwaree,134.5,504,93.1,82.8,104.6,0
 2002-03 to 2003-04, Liverpool Plains,41,503.6,91.4,73.7,110.9,0
 2008-09 to 2009-10, Conargo,7.6,503.5,74.8,51.7,101.2,0
 2001-02 to 2002-03, Greater Taree,228.1,503.1,93,84.7,101.7,0
 2010-11 to 2011-12, Yass Valley,76.5,502.1,72.9,62.5,83.8, --
 2001-02 to 2002-03, Muswellbrook,72.1,502,92.7,79.1,108.1,0
 2005-06 to 2006-07, Uralla,29.1,501.9,78.1,61.4,96.6, -
 2006-07 to 2007-08, Conargo,7.9,501.8,75,52.6,101.9,0
 2006-07 to 2007-08, Fairfield,897.1,501.4,74.9,71.5,78.3, --
 2009-10 to 2010-11, Liverpool Plains,40.5,501.3,74.1,59.9,89.4, --
 2003-04 to 2004-05, Ashfield,220.4,501.2,87.8,79.7,96.1, --
 2004-05 to 2005-06, Lake Macquarie,963.7,500.8,83.9,80.2,87.7, --
 2009-10 to 2010-11, Port Macquarie-Hastings,412.3,500.8,74.1,69.2,79.2, --
 2001-02 to 2002-03, Penrith,807.7,500.4,92.4,88,97.2, --
 2001-02 to 2002-03, Singleton,100.2,500,92.4,80.2,105.1,0
 2001-02 to 2002-03, Pittwater,290.6,499.4,92.3,84.7,99.8, -
 2004-05 to 2005-06, Hunters Hill,75.6,499.1,83.6,71.4,97.3, -
 2008-09 to 2009-10, Port Macquarie-Hastings,400.1,498.8,74.1,69.1,79.2, --
 2007-08 to 2008-09, Liverpool,790.2,497.7,74.2,70.5,77.8, --
 2002-03 to 2003-04, Cessnock,231.8,497.6,90.3,82.4,99, -
 2009-10 to 2010-11, Palerang,69.8,497,73.5,62.3,85.4, --
 2007-08 to 2008-09, Uralla,29.6,496.6,74,58.8,91.1, --
 2003-04 to 2004-05, Burwood,164.8,496.5,87,78.2,96.3, --
 2005-06 to 2006-07, Auburn,324.2,496.5,77.3,71.2,83.4, --
 2005-06 to 2006-07, Liverpool,754.1,496.5,77.3,73.6,81.1, --
 2006-07 to 2007-08, Canada Bay,358.6,496.4,74.2,68.8,79.4, --
 2006-07 to 2007-08, Hurstville,397.4,496.4,74.2,69.1,79.3, --
 2010-11 to 2011-12, Gwydir,27.6,496.4,72,57.4,90.2, --
 2002-03 to 2003-04, Tweed,408.7,496.3,90,83.8,96.5, --
 2002-03 to 2003-04, Oberon,25.7,495,89.8,68.7,113.6,0
 2003-04 to 2004-05, Muswellbrook,71.2,494.8,86.7,73.2,101.1,0
 2009-10 to 2010-11, Port Stephens,336.1,494.7,73.1,67.7,78.7, --
 2011-12 to 2012-13, Uralla,31,494.5,70.5,55.7,86.5, --
 2001-02 to 2002-03, Gloucester,25.5,494.3,91.3,71.1,116.1,0
 2009-10 to 2010-11, Kogarah,292.9,493.8,73,67.4,78.8, --
 2003-04 to 2004-05, Hornsby,773.5,492.7,86.3,81.8,90.8, --
 2001-02 to 2002-03, Wagga Wagga,268,492.6,91,83.8,98.7, -
 2003-04 to 2004-05, Tamworth Regional,263.9,492.6,86.3,79.4,93.6, --
 2010-11 to 2011-12, Maitland,326.6,492.5,71.5,66.1,77.2, --
 2007-08 to 2008-09, Bankstown,873.6,491.9,73.3,69.9,76.9, --
 2011-12 to 2012-13, Armidale Dumaresq,120.4,491.4,70,61.6,78.9, --
 2009-10 to 2010-11, Fairfield,913.9,491.3,72.6,69.3,76.1, --
 2001-02 to 2002-03, Strathfield,150.7,491.2,90.7,81.3,100.6,0
 2003-04 to 2004-05, Greater Hume Shire,49.4,489.7,85.8,71.3,102.3,0
 2004-05 to 2005-06, Kiama,101.8,489.5,82,71.8,94.3, --
 2005-06 to 2006-07, Snowy River,36.5,489.2,76.1,61,93, --
 2002-03 to 2003-04, Boorowa,12,488.5,88.6,62.4,120.8,0
 2002-03 to 2003-04, Lane Cove,162,486.8,88.3,79.1,97.9, -
 2012-13 to 2013-14, Blayney,34.9,486.6,68.5,54.8,83.6, --
 2002-03 to 2003-04, Campbelltown,646.9,486.4,88.2,83.5,93, --
 2004-05 to 2005-06, Kogarah,272.6,486.3,81.5,74.9,88.3, --
 2009-10 to 2010-11, Maitland,316.2,486.3,71.9,66.4,77.5, --
 2009-10 to 2010-11, Armidale Dumaresq,118.7,485.9,71.8,63.5,81.1, --
 2003-04 to 2004-05, Lockhart,16.5,485.6,85.1,62.2,111.6,0
 2003-04 to 2004-05, Uralla,27.7,485.2,85,65.7,106.5,0
 2002-03 to 2003-04, Hornsby,756.2,485.1,88,83.6,92.4, --
 2009-10 to 2010-11, Murray,36.8,484.8,71.7,58.1,86.7, --
 2012-13 to 2013-14, Uralla,30.8,484.7,68.2,53.9,84, --
 2010-11 to 2011-12, Burwood,170.9,484.3,70.3,63.5,77.8, --
 2013-14 to 2014-15, Uralla,31.1,484,68.5,54.8,84.3, --
 2001-02 to 2002-03, Hunters Hill,72.4,483.6,89.3,75.6,104.7,0
 2002-03 to 2003-04, Wollondilly,173.6,483.5,87.7,78.8,96.7, --
 2004-05 to 2005-06, Oberon,25.1,483.5,81,62.8,101.3,0
 2001-02 to 2002-03, Wollondilly,170.4,482.9,89.2,80.3,98.4, -
 2006-07 to 2007-08, Dungog,40.4,482.9,72.2,59,87.1, --
 2003-04 to 2004-05, Oberon,24.9,482.7,84.6,65.3,104.9,0
 2010-11 to 2011-12, Canterbury,679.4,482.5,70,66.4,73.9, --
 2004-05 to 2005-06, Hawkesbury,276.4,482.2,80.8,74.5,87.6, --
 2003-04 to 2004-05, Upper Lachlan Shire,35.4,481.6,84.4,68.1,103.6,0
 2002-03 to 2003-04, Muswellbrook,69.3,481.3,87.3,74,102.3,0
 2008-09 to 2009-10, Snowy River,36.4,480.6,71.4,57.8,86.4, --
 2001-02 to 2002-03, Hornsby,742.2,480.1,88.7,84.4,93.4, --
 2002-03 to 2003-04, Pittwater,278.7,480,87.1,79.9,94.4, --
 2010-11 to 2011-12, Gloucester,27.4,479.9,69.6,55.3,85.9, --
 2003-04 to 2004-05, Liverpool Plains,38.7,479.8,84.1,67.5,102.1,0
 2007-08 to 2008-09, Fairfield,871.3,479.6,71.5,68.1,74.9, --
 2010-11 to 2011-12, Armidale Dumaresq,117.6,479.5,69.6,61.3,78.9, --
 2004-05 to 2005-06, Canada Bay,332.2,479.2,80.3,74.4,86.7, --
 2013-14 to 2014-15, Canterbury,700.4,479,67.8,64.3,71.4, --
 2006-07 to 2007-08, Snowy River,35.9,478.7,71.5,57.8,87.9, --
 2011-12 to 2012-13, Murray,38.7,478.7,68.2,55.5,82.1, --
 2001-02 to 2002-03, Campbelltown,636.4,478.4,88.4,83.6,93.3, --
 2001-02 to 2002-03, Greater Hume Shire,48.7,478.4,88.4,73.2,105.3,0
 2010-11 to 2011-12, Kogarah,286.2,478.4,69.4,64,75.5, --
 2008-09 to 2009-10, Palerang,65.6,478,71,60.3,82.3, --
 2007-08 to 2008-09, Gwydir,26.4,477.4,71.2,56.1,87.8, --
 2009-10 to 2010-11, Canterbury,667.7,477,70.5,66.6,74.2, --
 2004-05 to 2005-06, Albury,221.8,476.9,79.9,72.5,87.3, --
 2003-04 to 2004-05, Port Macquarie-Hastings,353.3,476.8,83.5,77.6,89.9, --
 2005-06 to 2006-07, Dungog,39.7,476.4,74.1,60.4,89.1, --
 2010-11 to 2011-12, Uralla,29.7,475.9,69.1,55.4,84.5, --
 2001-02 to 2002-03, Botany Bay,181,475.7,87.9,79.3,97.1, --
 2002-03 to 2003-04, Willoughby,313.3,475.6,86.3,79.7,93, --
 2005-06 to 2006-07, Canada Bay,335.4,475.3,74,68.5,79.7, --
 2001-02 to 2002-03, Cessnock,220.5,475.2,87.8,79.9,95.7, --
 2003-04 to 2004-05, Wollondilly,173.7,475.2,83.3,75,91.7, --
 2005-06 to 2006-07, Queanbeyan,168.2,475.1,73.9,66.2,82.1, --
 2002-03 to 2003-04, Wagga Wagga,259.2,474.9,86.1,78.9,93.6, --
 2004-05 to 2005-06, Liverpool Plains,37.9,474.9,79.6,64.1,96.3, -
 2008-09 to 2009-10, Fairfield,875.7,474.9,70.5,67.1,74, --
 2008-09 to 2009-10, Gwydir,26.1,474.6,70.5,55.1,88.4, --
 2002-03 to 2003-04, Gloucester,24.7,474.5,86.1,65.5,107.9,0
 2004-05 to 2005-06, Rockdale,472.1,473.2,79.3,74.4,84.4, --
 2001-02 to 2002-03, Tweed,375.8,472.5,87.3,81.3,93.5, --
 2002-03 to 2003-04, Newcastle,717.4,472.5,85.7,81.5,90.1, --
 2004-05 to 2005-06, Snowy River,35.1,472.5,79.2,62.1,97.2, -
 2005-06 to 2006-07, Fairfield,837.4,472.5,73.5,70.1,77.1, --
 2011-12 to 2012-13, Snowy River,36.6,472.3,67.3,54.5,81.5, --
 2002-03 to 2003-04, Lockhart,16.3,471.6,85.6,61.3,113.8,0
 2004-05 to 2005-06, Burwood,158.5,471.6,79,70.7,87.3, --
 2006-07 to 2007-08, Bankstown,821.5,471.3,70.4,67.1,73.7, --
 2002-03 to 2003-04, Strathfield,147.2,471.2,85.5,76.5,95.2, --
 2005-06 to 2006-07, Canterbury,623.4,470.8,73.3,69.2,77.4, --
 2012-13 to 2013-14, Snowy River,37.5,470.8,66.3,53.2,81.1, --
 2001-02 to 2002-03, Rockdale,462.4,470.2,86.9,81.3,92.6, --
 2013-14 to 2014-15, Gunnedah,60.7,470.1,66.6,56,78, --
 2011-12 to 2012-13, Canterbury,668.6,469.2,66.9,63.3,70.7, --
 2009-10 to 2010-11, Uralla,28.9,468.5,69.3,54.8,85.6, --
 2005-06 to 2006-07, Wollondilly,176.7,468.4,72.9,65.6,80.4, --
 2005-06 to 2006-07, Singleton,98.6,467.8,72.8,63.4,83.4, --
 2001-02 to 2002-03, Uralla,27.2,467.2,86.3,67.6,107.9,0
 2004-05 to 2005-06, Singleton,97.3,466.8,78.2,68,89.1, --
 2006-07 to 2007-08, Canterbury,626,465.5,69.6,65.8,73.4, --
 2003-04 to 2004-05, Albury,213.8,465.4,81.6,74.1,89.5, --
 2012-13 to 2013-14, Gunnedah,59.7,464.5,65.4,55,76.4, --
 2004-05 to 2005-06, Port Macquarie-Hastings,347.9,464.4,77.8,72,83.5, --
 2010-11 to 2011-12, Palerang,66.6,464.4,67.4,57.5,78.3, --
 2004-05 to 2005-06, Canterbury,605.5,464,77.7,73.4,82.2, --
 2001-02 to 2002-03, Willoughby,303.7,463.7,85.7,79,92.4, --
 2001-02 to 2002-03, Ballina,186.7,462.5,85.4,77.1,94.4, --
 2004-05 to 2005-06, Port Stephens,284.3,462.1,77.4,71.3,84.1, --
 2012-13 to 2013-14, Canterbury,666.9,461.2,64.9,61.5,68.2, --
 2003-04 to 2004-05, Lake Macquarie,884.5,461.1,80.8,77.2,84.7, --
 2002-03 to 2003-04, Port Macquarie-Hastings,335.2,461,83.6,77.4,90.1, --
 2001-02 to 2002-03, Port Macquarie-Hastings,325.5,460.8,85.1,78.8,91.7, --
 2002-03 to 2003-04, Uralla,26.5,460.4,83.5,63.9,104.5,0
 2005-06 to 2006-07, Maitland,277.2,459.9,71.6,65.8,77.7, --
 2012-13 to 2013-14, Murray,38,458.9,64.6,52.3,78.6, --
 2002-03 to 2003-04, Singleton,93.1,458.3,83.1,72.2,95.8, --
 2008-09 to 2009-10, Uralla,27.8,458,68,53.5,84.9, --
 2013-14 to 2014-15, Murray,38.5,458,64.8,52.4,78.6, --
 2001-02 to 2002-03, Wingecarribee,194.2,457.7,84.6,76.5,93, --
 2012-13 to 2013-14, Palerang,67.9,457,64.3,54.6,74.8, --
 2009-10 to 2010-11, Gloucester,25.4,456.9,67.6,53,84.4, --
 2008-09 to 2009-10, Canterbury,634,456.7,67.8,64.2,71.7, --
 2008-09 to 2009-10, Gloucester,24.8,456.7,67.8,53.5,84.7, --
 2002-03 to 2003-04, Berrigan,38.7,455.8,82.7,65.7,100.8,0
 2007-08 to 2008-09, Snowy River,34.4,455.5,67.9,54.5,83, --
 2006-07 to 2007-08, Maitland,280.8,455,68,62.7,73.7, --
 2001-02 to 2002-03, Inverell,72.2,454.9,84,71.4,98.1, -
 2003-04 to 2004-05, Singleton,93.5,454.5,79.6,69.3,91.2, --
 2007-08 to 2008-09, Canterbury,620.5,453.6,67.6,63.9,71.4, --
 2001-02 to 2002-03, Canterbury,606.6,453.2,83.7,79.2,88.3, --
 2007-08 to 2008-09, Yass Valley,63.2,452.9,67.5,56.7,79.1, --
 2001-02 to 2002-03, Albury,204.2,452.6,83.6,76.2,91.8, --
 2006-07 to 2007-08, Murray,32.1,452.3,67.6,53.2,83.4, --
 2005-06 to 2006-07, Burwood,153.9,452.2,70.4,62.9,78.5, --
 2008-09 to 2009-10, Maitland,288.4,451,67,61.9,72.1, --
 2002-03 to 2003-04, Upper Lachlan Shire,33,449.6,81.6,64.9,100.4,0
 2004-05 to 2005-06, Wollondilly,166.6,448.9,75.2,67.8,83.3, --
 2001-02 to 2002-03, Tamworth Regional,237.7,448.3,82.8,76,90.3, --
 2004-05 to 2005-06, The Hills Shire,682.4,447,74.9,71.1,79.1, --
 2005-06 to 2006-07, Bankstown,765.4,446.5,69.5,66.1,73, --
 2011-12 to 2012-13, Palerang,65.2,445.9,63.6,53.6,74.1, --
 2003-04 to 2004-05, Hawkesbury,256.9,445.8,78.1,71.9,84.8, --
 2003-04 to 2004-05, Liverpool,660.4,445.8,78.1,73.9,82.4, --
 2002-03 to 2003-04, Tamworth Regional,237.7,445.6,80.8,73.3,87.9, --
 2001-02 to 2002-03, Newcastle,670.8,445.4,82.3,77.8,86.8, --
 2003-04 to 2004-05, Strathfield,142.6,445.4,78,69.2,87.2, --
 2008-09 to 2009-10, Camden,222.9,445.3,66.1,60.1,72.3, --
 2001-02 to 2002-03, Oberon,23.2,444.3,82.1,62.9,103.9,0
 2002-03 to 2003-04, Liverpool,651.4,444,80.6,76.2,85, --
 2006-07 to 2007-08, Palerang,56.9,443.3,66.2,55.9,77.8, --
 2003-04 to 2004-05, Rockdale,440.3,443.1,77.6,72.5,82.7, --
 2002-03 to 2003-04, Rockdale,437.7,443,80.4,75.3,85.5, --
 2003-04 to 2004-05, Kogarah,246.1,442.8,77.6,70.7,84.6, --
 2004-05 to 2005-06, Maitland,260.2,442.5,74.1,67.8,80.4, --
 2009-10 to 2010-11, Strathfield,162.4,441.6,65.3,58.5,72.2, --
 2001-02 to 2002-03, The Hills Shire,632,441.4,81.6,77,86, --
 2002-03 to 2003-04, The Hills Shire,646.9,441.2,80,75.6,84.7, --
 2005-06 to 2006-07, Hurstville,348.2,440.9,68.6,63.7,73.7, --
 2003-04 to 2004-05, Canterbury,571,440.1,77.1,72.7,81.5, --
 2013-14 to 2014-15, Strathfield,167,439.7,62.3,55.8,68.9, --
 2007-08 to 2008-09, Palerang,58.6,439.6,65.5,54.7,77, --
 2001-02 to 2002-03, Kiama,89.6,439,81.1,69.6,93.2, --
 2001-02 to 2002-03, Upper Lachlan Shire,32,438.5,81,64.6,99.1, -
 2004-05 to 2005-06, Corowa Shire,50.8,438.4,73.5,60.8,87.5, --
 2003-04 to 2004-05, The Hills Shire,656,438.3,76.8,72.6,81.1, --
 2008-09 to 2009-10, Strathfield,159.6,438.3,65.1,58.6,72.2, --
 2002-03 to 2003-04, Greater Hume Shire,44.4,438.2,79.5,65.4,96.1, -
 2007-08 to 2008-09, Strathfield,155.5,437.8,65.3,58.4,72.4, --
 2004-05 to 2005-06, Liverpool,655.4,437.3,73.3,69.6,77.2, --
 2001-02 to 2002-03, Corowa Shire,48.7,436.7,80.7,66.8,96.4, -
 2012-13 to 2013-14, Strathfield,162.5,435.6,61.3,55.1,68.4, --
 2004-05 to 2005-06, Queanbeyan,151.5,435.4,73,65,81.8, --
 2002-03 to 2003-04, Albury,197.8,434.6,78.8,71.4,86.7, --
 2004-05 to 2005-06, Uralla,24.8,432.6,72.5,55.3,92, --
 2001-02 to 2002-03, Berrigan,36.5,431.5,79.7,64.7,97.6, -
 2006-07 to 2007-08, Strathfield,148.9,431.5,64.5,57.5,71.8, --
 2002-03 to 2003-04, Kiama,88.7,430.9,78.2,68,90.1, --
 2005-06 to 2006-07, Conargo,6.8,429.3,66.8,47,91.8, --
 2001-02 to 2002-03, Bankstown,725,429.2,79.3,75.2,83.6, --
 2004-05 to 2005-06, Bankstown,728.2,428.6,71.8,68,75.5, --
 2007-08 to 2008-09, Maitland,269.5,428.5,63.9,58.6,69.2, --
 2002-03 to 2003-04, Canterbury,561.6,428.2,77.7,73.3,82, --
 2003-04 to 2004-05, Maitland,245.9,428.2,75,68.6,81.6, --
 2004-05 to 2005-06, Fairfield,755.1,428.1,71.7,68,75.4, --
 2007-08 to 2008-09, Burwood,148,425.1,63.4,56.6,70.6, --
 2006-07 to 2007-08, Burwood,146.2,424.1,63.4,56.6,70.6, --
 2003-04 to 2004-05, Kiama,87.6,422.7,74.1,63.9,85.4, --
 2002-03 to 2003-04, Bankstown,714.5,422.3,76.6,72.5,80.7, --
 2001-02 to 2002-03, Lockhart,14.9,422.1,78,55.8,104,0
 2001-02 to 2002-03, Hurstville,327.3,421.8,77.9,72,84.1, --
 2002-03 to 2003-04, Camden,182.6,421.8,76.5,68.8,84.3, --
 2001-02 to 2002-03, Camden,178.2,421.1,77.8,69.9,86.1, --
 2007-08 to 2008-09, Camden,204.5,420.7,62.7,56.8,68.8, --
 2001-02 to 2002-03, Liverpool,608.6,418.3,77.3,73.1,81.4, --
 2003-04 to 2004-05, Bankstown,708.2,418,73.2,69.5,77.2, --
 2004-05 to 2005-06, Dungog,34.7,417.8,70,56.4,85.7, --
 2002-03 to 2003-04, Lake Macquarie,797.1,417.7,75.8,72,79.7, --
 2004-05 to 2005-06, Camden,186.1,415.6,69.6,62.9,76.8, --
 2005-06 to 2006-07, Palerang,51,415.4,64.6,53.7,76.2, --
 2005-06 to 2006-07, Strathfield,139.2,414.4,64.5,57.7,72, --
 2003-04 to 2004-05, Hurstville,323.5,413.8,72.5,66.9,78.3, --
 2002-03 to 2003-04, Hawkesbury,240.1,412.7,74.9,68.2,81.6, --
 2003-04 to 2004-05, Fairfield,726.6,412.7,72.3,68.7,76, --
 2002-03 to 2003-04, Port Stephens,245.1,411.8,74.7,68.1,81.7, --
 2006-07 to 2007-08, Camden,192.8,410.5,61.3,55.3,67.3, --
 2002-03 to 2003-04, Hurstville,319.4,410,74.4,68.7,80.3, --
 2003-04 to 2004-05, Camden,180,408.9,71.6,64.6,78.9, --
 2005-06 to 2006-07, Camden,186.3,408.1,63.5,57.2,69.8, --
 2004-05 to 2005-06, Strathfield,133.6,407.4,68.3,60.5,76.9, --
 2003-04 to 2004-05, Queanbeyan,138.6,406,71.1,63.2,79.8, --
 2003-04 to 2004-05, Port Stephens,246.4,405.9,71.1,65.1,77.6, --
 2003-04 to 2004-05, Snowy River,29.8,403.6,70.7,55.4,88.9, --
 2001-02 to 2002-03, Port Stephens,233.1,400.5,74,67.4,80.6, --
 2005-06 to 2006-07, Yass Valley,52.4,399.5,62.2,51.8,74.2, --
 2004-05 to 2005-06, Conargo,6.4,398.4,66.8,46.5,91.5, --
 2002-03 to 2003-04, Queanbeyan,133.3,397.2,72.1,64.2,80.8, --
 2001-02 to 2002-03, Lake Macquarie,750.3,396.7,73.3,69.7,77.2, --
 2004-05 to 2005-06, Hurstville,309.2,394,66,60.7,71.2, --
 2004-05 to 2005-06, Yass Valley,50.5,392.9,65.8,54.5,78.7, --
 2003-04 to 2004-05, Corowa Shire,44.8,391,68.5,55.3,82.5, --
 2001-02 to 2002-03, Hawkesbury,226.5,390.8,72.2,65.8,78.9, --
 2002-03 to 2003-04, Fairfield,687.3,389.7,70.7,67,74.6, --
 2006-07 to 2007-08, Yass Valley,52.3,386.9,57.8,48.1,68.5, --
 2001-02 to 2002-03, Fairfield,684,386.2,71.3,67.6,75.2, --
 2002-03 to 2003-04, Maitland,216.2,385.3,69.9,63.7,76.9, --
 2003-04 to 2004-05, Conargo,6.3,384.1,67.3,44.2,97.8, -
 2005-06 to 2006-07, Wentworth,25.9,374.3,58.3,44.1,73.7, --
 2002-03 to 2003-04, Corowa Shire,42.3,373.7,67.8,54.9,82.2, --
 2002-03 to 2003-04, Kogarah,205.9,373.7,67.8,61.5,74.3, --
 2005-06 to 2006-07, Wakool,17.2,373.3,58.1,42.5,75.8, --
 2001-02 to 2002-03, Queanbeyan,120.8,368.7,68.1,60.3,76.6, --
 2004-05 to 2005-06, Palerang,43,365.8,61.3,50.4,73, --
 2001-02 to 2002-03, Conargo,6.2,365.6,67.5,45.8,94.8, -
 2001-02 to 2002-03, Maitland,199.1,364,67.2,61,73.7, --
 2001-02 to 2002-03, Kogarah,198.8,362.3,66.9,60.7,73.7, --
 2001-02 to 2002-03, Dungog,29.9,361,66.7,53.1,82.7, --
 2002-03 to 2003-04, Conargo,6,360.1,65.3,43.5,94.8, -
 2001-02 to 2002-03, Snowy River,25.3,346.3,64,48.9,80.9, --
 2003-04 to 2004-05, Yass Valley,43.1,339.4,59.5,48.1,72.3, --
 2003-04 to 2004-05, Dungog,28,338.5,59.3,46.2,73.6, --
 2003-04 to 2004-05, Palerang,38.2,335.6,58.8,47.6,71.2, --
 2001-02 to 2002-03, Yass Valley,40.3,333.8,61.7,50.1,74.1, --
 2005-06 to 2006-07, Murray,22.6,329.5,51.3,39.1,65.1, --
 2001-02 to 2002-03, Wentworth,22.6,324.9,60,45.2,78.2, --
 2002-03 to 2003-04, Snowy River,23.8,323.1,58.6,44.1,75.1, --
 2002-03 to 2003-04, Yass Valley,40,321.1,58.3,47.2,70.8, --
 2002-03 to 2003-04, Dungog,26.5,319.2,57.9,44.6,73.4, --
 2001-02 to 2002-03, Wakool,14.8,311.1,57.5,41.5,76.2, --
 2002-03 to 2003-04, Palerang,34.3,309.3,56.1,44.3,69, --
 2001-02 to 2002-03, Palerang,31.9,297.9,55,44.1,68.3, --
 2004-05 to 2005-06, Wakool,13.1,283,47.4,33.7,63.3, --
 2002-03 to 2003-04, Wakool,13.3,282.8,51.3,36.2,69.3, --
 2001-02 to 2002-03, Murray,17.8,282.7,52.2,38,68.3, --
 2003-04 to 2004-05, Wakool,13.1,280.1,49.1,34.3,66.9, --
 2003-04 to 2004-05, Wentworth,16.7,248.5,43.5,31.2,58.1, --
 2002-03 to 2003-04, Wentworth,16.4,241,43.7,31,58.4, --
 2004-05 to 2005-06, Wentworth,16,234.7,39.3,27.9,53.3, --
 2004-05 to 2005-06, Murray,14.3,216.2,36.2,25.8,48, --
 2002-03 to 2003-04, Murray,12.4,194,35.2,24.2,47.9, --
 2003-04 to 2004-05, Murray,11.8,181.6,31.8,22.3,43.4, --
,,,,,,,
Copyright notice:,,,,,,,
"This work is copyright NSW Ministry of Health, 2015. It may be reproduced in whole or in part,",,,,,,,
subject to the inclusion of an acknowledgement of the source. Commercial usage or sale is prohibited.,,,,,,,
,,,,,,,
Suggested citation:,,,,,,,
Centre for Epidemiology and Evidence. Health Statistics New South Wales. Sydney: NSW Ministry of Health. Available at: www.healthstats.nsw.gov.au. Accessed (insert date of access).,,,,,,,
,,,,,,,
Produced By:,,,,,,,
"Centre for Epidemiology and Evidence (http://www.health.nsw.gov.au/epidemiology/Pages/default.aspx), Population Health Division, NSW Ministry of Health (http://www.health.nsw.gov.au/).",,,,,,,
,,,,,,,
Note:,,,,,,,
"Calculated using age and sex-specific aetiological fractions from the School of Population Health, University of Queensland and AIHW, 2007.  Only NSW residents are included. Figures are based on where a person resides, not where they are treated. Hospital separations were classified using ICD-10-AM. Numbers for the last year include an estimate of the small number of hospitalisations of NSW residents in interstate public hospitals, data for which were unavailable at the time of production. Further details can be found in the Methods tab &nbsp;in the following HealthStats NSW indicator: http://www.healthstats.nsw.gov.au/Indicator/bod_hos_cat Indirect age and sex standardisation was used to calculate standardised rates and ratios; Bayesian smoothing methods were used to calculate the smoothed ratios. Interpretation: '0' result not statistically different than state average, '-' lower than the state average at the 5% level of statistical significance , '--' at the 1% level; '+' greater than the state average at the 5% level of significance, '++' at the 1% level. Local Government Area boundaries used were defined in 2011. .",,,,,,,
,,,,,,,
Source:,,,,,,,
