LGA,region_id,2006_Non-Indigenous_ppt,2007_Non-Indigenous_ppt,2008_Non-Indigenous_ppt,2009_Non-Indigenous_ppt,2010_Non-Indigenous_ppt,2011_Total_Non_Indig_Males_ppt,2012_Non-Indigenous_ppt,2013_Non-Indigenous_ppt,2014_Non-Indigenous_ppt,2015_Non-Indigenous_ppt,2016_Non-Indigenous_ppt,2006_Total_Indig_Males_ppt,2007_Total_Indig_Males_ppt,2008_Total_Indig_Males_ppt,2009_Total_Indig_Males_ppt,2010_Total_Indig_Males_ppt,2011_Total_Indig_Males_ppt,2012_Total_Indig_Males_ppt,2013_Total_Indig_Males_ppt,2014_Total_Indig_Males_ppt,2015_Total_Indig_Males_ppt,2016_Indigenous_ppt
Mosman (A),LGA15350,0.9714,0.978212476,0.985072728,0.991981091,0.998937903,0.998649903,0.998478511,0.998307148,0.998135815,0.997964511,0.997964335,0.0286,0.021787981,0.016598465,0.012645001,0.009633183,0.001351922,0.001522858,0.001715407,0.001932301,0.002176619,0.002035665
Murray River (A),LGA15520,0.8163,0.854545983,0.894583899,0.936497706,0.980375294,0.969283932,0.969463414,0.969642931,0.96982248,0.970002062,0.970001863,0.1837,0.145697361,0.115556456,0.091650902,0.07269077,0.031689443,0.031266617,0.030849432,0.030437813,0.030031687,0.029998137
Muswellbrook (A),LGA15650,0.9702,0.963582005,0.957009153,0.950481136,0.943997648,0.943728019,0.935829758,0.9279976,0.920230991,0.912529382,0.912134977,0.0298,0.037256832,0.046579582,0.058235157,0.072807298,0.059627329,0.066686753,0.074581958,0.083411896,0.093287232,0.087865023
Nambucca (A),LGA15700,0.9058,0.910368465,0.914959972,0.919574637,0.924212575,0.924073862,0.923000388,0.921928162,0.920857181,0.919787444,0.919779968,0.0942,0.091191144,0.088278395,0.085458682,0.082729034,0.082164577,0.081678441,0.081195181,0.08071478,0.080237222,0.080220032
Narrabri (A),LGA15750,0.9511,0.936038984,0.921216465,0.906628666,0.89227187,0.890855936,0.885185267,0.879550693,0.873951986,0.868388917,0.868173258,0.0489,0.067303988,0.092634495,0.127498384,0.175483634,0.122515953,0.12484365,0.127215572,0.129632558,0.132095464,0.131826742
Narrandera (A),LGA15800,0.9409,0.929301374,0.917845725,0.906531293,0.895356335,0.894505495,0.894669443,0.894833422,0.894997431,0.89516147,0.89516129,0.0591,0.073809029,0.092178897,0.115120727,0.143772405,0.117936118,0.114661766,0.111478322,0.108383263,0.105374134,0.10483871
Narromine (A),LGA15850,0.9106,0.884977458,0.860075886,0.835874997,0.812355074,0.808109834,0.804210167,0.800329318,0.796467197,0.792623713,0.792511165,0.0894,0.126413888,0.178752472,0.25276057,0.357409915,0.237455551,0.229963872,0.222708554,0.21568214,0.208877408,0.207488835
Newcastle (C),LGA15900,0.9047,0.921484261,0.938579909,0.95599272,0.973728579,0.971837045,0.969726001,0.967619543,0.96551766,0.963420343,0.963392869,0.0953,0.078719773,0.065024162,0.053711304,0.044366649,0.028979092,0.030886102,0.032918605,0.03508486,0.037393668,0.036607131
North Sydney (A),LGA15950,0.8442,0.882436138,0.922404096,0.964182313,1.007852779,0.997144552,0.996975052,0.996805581,0.996636138,0.996466724,0.996466551,0.1558,0.117565906,0.088714649,0.066943633,0.050515333,0.002863625,0.003031081,0.003208329,0.003395942,0.003594527,0.003533449
Oberon (A),LGA16100,0.9769,0.973774374,0.970658749,0.967553092,0.964457372,0.964397496,0.964124735,0.963852051,0.963579444,0.963306915,0.963306452,0.0231,0.026554209,0.030524936,0.035089416,0.040336437,0.036916836,0.036861014,0.036805276,0.036749623,0.036694054,0.036693548
Orange (C),LGA16150,0.9977,0.983878213,0.970247907,0.956806432,0.943551169,0.94241285,0.93942224,0.936441121,0.933469462,0.930507232,0.930450411,0.0023,0.017001519,0.125674624,0.928982369,6.867004787,0.061106074,0.063216953,0.065400751,0.067659987,0.069997267,0.069549589
Parkes (A),LGA16200,0.9537,0.943273817,0.932961616,0.922762152,0.912674192,0.911995267,0.906193281,0.900428207,0.89469981,0.889007856,0.888787325,0.0463,0.05884923,0.074799824,0.095073693,0.120842626,0.096496919,0.100175858,0.103995056,0.107959861,0.112075824,0.111212675
